,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
174,Cédric Bakambu,cd COD,FW,Marseille,fr Ligue 1,30,1991,12,5,356,4.0,4,0,4,0,0,1,0,1.01,0.00,1.01,1.01,1.01,3.1,3.1,0.6,3.7,0.78,0.15,0.93,0.78,0.93,Matches,0af4dcf0
175,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,4,4,307,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ee95585f
176,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,1994,14,5,501,5.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.05,0.09,0.15,0.05,0.15,Matches,59bf127b
177,Mitchel Bakker,nl NED,DF,Leverkusen,de Bundesliga,21,2000,25,19,1822,20.2,0,4,0,0,0,6,0,0.00,0.20,0.20,0.00,0.20,0.5,0.5,1.1,1.6,0.02,0.06,0.08,0.02,0.08,Matches,a8567629
178,Ridle Baku,de GER,DFFW,Wolfsburg,de Bundesliga,23,1998,34,28,2446,27.2,3,5,3,0,0,4,0,0.11,0.18,0.29,0.11,0.29,2.2,2.2,4.8,7.0,0.08,0.18,0.26,0.08,0.26,Matches,442b56fa
179,Dilane Bakwa,fr FRA,FWDF,Bordeaux,fr Ligue 1,18,2002,5,0,43,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.74,0.00,0.74,0.74,0.74,Matches,2b5a35e5
180,Tommaso Baldanzi,it ITA,FW,Empoli,it Serie A,18,2003,1,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.14,0.14,0.00,0.14,Matches,102e2599
181,Alejandro Balde,es ESP,DFFW,Barcelona,es La Liga,17,2003,5,2,188,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,Matches,5ccc9672
182,Ibrahima Baldé,fr FRA,FWMF,Lens,fr Ligue 1,18,2003,4,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.06,0.06,0.00,0.06,Matches,a30cb0d4
183,Keita Baldé,sn SEN,FWMF,Cagliari,it Serie A,26,1995,26,14,1229,13.7,3,1,3,0,0,2,0,0.22,0.07,0.29,0.22,0.29,3.2,3.2,1.1,4.2,0.23,0.08,0.31,0.23,0.31,Matches,509a4ccb
184,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,32,1989,5,4,280,3.1,1,0,1,0,0,2,0,0.32,0.00,0.32,0.32,0.32,1.2,1.2,0.0,1.3,0.39,0.01,0.40,0.39,0.40,Matches,a58bb1e1
185,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,33,1988,26,23,2027,22.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.6,0.01,0.02,0.03,0.01,0.03,Matches,1fe67e86
186,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,22,1999,17,10,950,10.6,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches,7c3ed041
187,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,29,1992,35,35,3147,35.0,1,2,1,0,0,10,1,0.03,0.06,0.09,0.03,0.09,0.6,0.6,4.0,4.7,0.02,0.12,0.13,0.02,0.13,Matches,cee88597
188,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,24,1997,10,5,446,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.11,0.04,0.15,0.11,0.15,Matches,f449640d
189,Folarin Balogun,eng ENG,FW,Arsenal,eng Premier League,20,2001,2,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.35,0.00,0.35,0.35,0.35,Matches,31822f8c
190,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,31,1990,10,4,458,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.03,0.05,0.02,0.05,Matches,7fecbcdb
191,Jonathan Bamba,fr FRA,MFFW,Lille,fr Ligue 1,25,1996,31,28,2428,27.0,1,2,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,3.2,3.2,3.5,6.7,0.12,0.13,0.25,0.12,0.25,Matches,b2bd0f6c
192,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,27,1993,9,7,559,6.2,2,2,2,0,0,2,0,0.32,0.32,0.64,0.32,0.64,3.9,3.9,1.0,4.9,0.63,0.15,0.78,0.63,0.78,Matches,93feac6e
193,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,26,1995,35,24,1955,21.7,2,3,2,0,0,10,0,0.09,0.14,0.23,0.09,0.23,2.6,2.6,3.1,5.6,0.12,0.14,0.26,0.12,0.26,Matches,d44360be
194,Mattia Bani,it ITA,DF,Genoa,it Serie A,27,1993,17,13,1211,13.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.0,1.2,0.09,0.00,0.09,0.09,0.09,Matches,0821331c
195,Simon Banza,fr FRA,FW,Lens,fr Ligue 1,24,1996,4,1,124,1.4,1,1,1,0,0,0,0,0.73,0.73,1.45,0.73,1.45,1.2,1.2,0.6,1.8,0.86,0.47,1.33,0.86,1.33,Matches,be47b750
196,Shandon Baptiste,gd GRN,MF,Brentford,eng Premier League,23,1998,22,9,910,10.1,1,0,1,0,0,2,1,0.10,0.00,0.10,0.10,0.10,0.7,0.7,0.5,1.2,0.07,0.05,0.12,0.07,0.12,Matches,2886c9b5
197,Antonín Barák,cz CZE,FWMF,Hellas Verona,it Serie A,26,1994,29,27,2340,26.0,11,4,7,4,4,4,0,0.42,0.15,0.58,0.27,0.42,9.5,6.5,3.4,9.8,0.37,0.13,0.50,0.25,0.38,Matches,01efac19
198,Barbero,es ESP,MFFW,Osasuna,es La Liga,22,1998,6,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.07,0.07,0.00,0.07,Matches,981c1863
199,Danilo Barbosa,br BRA,DF,Nice,fr Ligue 1,25,1996,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0557ff4f
200,Barcia,es ESP,DF,Granada,es La Liga,20,2000,1,1,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0c717ae6
201,Bradley Barcola,fr FRA,FWMF,Lyon,fr Ligue 1,18,2002,11,2,263,2.9,0,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,0.5,0.5,1.0,1.5,0.16,0.35,0.51,0.16,0.51,Matches,a0d55a09
202,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,20,2000,33,30,2589,28.8,2,2,2,0,0,3,0,0.07,0.07,0.14,0.07,0.14,0.9,0.9,2.4,3.3,0.03,0.08,0.11,0.03,0.11,Matches,1ddbc7ca
203,Enis Bardhi,mk MKD,MFFW,Levante,es La Liga,26,1995,30,17,1701,18.9,3,3,1,2,2,3,0,0.16,0.16,0.32,0.05,0.21,3.8,2.3,3.3,5.6,0.20,0.18,0.38,0.12,0.30,Matches,cac2537b
204,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2,2,177,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0acda699
205,Keidi Bare,al ALB,MF,Espanyol,es La Liga,23,1997,25,18,1481,16.5,1,1,1,0,0,9,0,0.06,0.06,0.12,0.06,0.12,0.5,0.5,1.0,1.5,0.03,0.06,0.09,0.03,0.09,Matches,03049c8c
206,Nicolò Barella,it ITA,MF,Inter,it Serie A,24,1997,36,36,2913,32.4,3,11,3,0,0,9,0,0.09,0.34,0.43,0.09,0.43,5.2,5.2,7.9,13.1,0.16,0.24,0.40,0.16,0.40,Matches,6928979a
207,Kike Barja,es ESP,MFFW,Osasuna,es La Liga,24,1997,21,9,865,9.6,2,0,2,0,0,2,0,0.21,0.00,0.21,0.21,0.21,1.8,1.8,0.6,2.4,0.19,0.07,0.25,0.19,0.25,Matches,aad53e64
208,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,27,1993,6,1,179,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,1.2,1.2,0.7,1.9,0.60,0.33,0.94,0.60,0.94,Matches,3a24769f
209,Aymen Barkok,ma MAR,MFFW,Eint Frankfurt,de Bundesliga,23,1998,5,2,160,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches,a2a85828
210,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,31,1989,23,8,808,9.0,1,0,0,1,1,4,0,0.11,0.00,0.11,0.00,0.00,1.8,1.0,1.6,2.6,0.20,0.18,0.38,0.11,0.29,Matches,2691c772
211,Harvey Barnes,eng ENG,FWMF,Leicester City,eng Premier League,23,1997,32,24,2101,23.3,6,10,6,0,0,2,0,0.26,0.43,0.69,0.26,0.69,6.8,6.8,4.0,10.8,0.29,0.17,0.46,0.29,0.46,Matches,3ea50f67
212,Antonio Barragán,es ESP,DF,Elche,es La Liga,34,1987,16,12,1020,11.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,487d9b09
213,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,21,2000,31,20,1789,19.9,1,2,1,0,0,3,0,0.05,0.10,0.15,0.05,0.15,2.4,2.4,2.1,4.5,0.12,0.10,0.23,0.12,0.23,Matches,00242b75
214,Ander Barrenetxea,es ESP,FWMF,Real Sociedad,es La Liga,19,2001,11,6,547,6.1,1,1,1,0,0,0,0,0.16,0.16,0.33,0.16,0.33,0.4,0.4,1.0,1.4,0.06,0.17,0.23,0.06,0.23,Matches,200e89e1
215,Jacob Barrett Laursen,dk DEN,DF,Arminia,de Bundesliga,26,1994,24,20,1632,18.1,2,0,2,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.3,0.3,0.5,0.8,0.01,0.03,0.04,0.01,0.04,Matches,c0d3bd23
216,Musa Barrow,gm GAM,FWMF,Bologna,it Serie A,22,1998,34,25,2134,23.7,6,6,6,0,0,0,0,0.25,0.25,0.51,0.25,0.51,5.4,5.4,4.4,9.8,0.23,0.18,0.41,0.23,0.41,Matches,e5bf73f3
217,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,de Bundesliga,21,2000,8,1,210,2.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.02,0.05,0.07,0.02,0.07,Matches,8df328f4
218,Marc Bartra,es ESP,DF,Betis,es La Liga,30,1991,23,23,1993,22.1,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,1.4,1.4,0.1,1.6,0.07,0.01,0.07,0.07,0.07,Matches,b742cc0d
219,Daniele Baselli,it ITA,MFFW,Torino,it Serie A,29,1992,6,0,150,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.17,0.01,0.18,0.17,0.18,Matches,ea06dd97
220,Daniele Baselli,it ITA,MF,Cagliari,it Serie A,29,1992,9,2,290,3.2,0,1,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31,0.5,0.5,0.5,0.9,0.14,0.15,0.29,0.14,0.29,Matches,ea06dd97
221,Toma Bašić,hr CRO,MF,Lazio,it Serie A,24,1996,29,9,982,10.9,0,2,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,1.7,1.7,0.8,2.5,0.16,0.08,0.23,0.16,0.23,Matches,80556f08
222,Toma Bašić,hr CRO,MF,Bordeaux,fr Ligue 1,24,1996,3,3,209,2.3,0,1,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,0.1,0.1,0.6,0.7,0.05,0.24,0.29,0.05,0.29,Matches,80556f08
223,Amine Bassi,fr FRA,MF,Metz,fr Ligue 1,23,1997,5,2,184,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.12,0.20,0.32,0.12,0.32,Matches,ced1d98f
224,Álvaro Bastida,es ESP,MF,Cádiz,es La Liga,17,2004,6,2,197,2.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,42a028c5
225,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,22,1999,31,29,2311,25.7,1,2,1,0,0,4,0,0.04,0.08,0.12,0.04,0.12,0.5,0.5,1.4,1.9,0.02,0.05,0.07,0.02,0.07,Matches,75b86fb3
226,Simone Bastoni,it ITA,MFDF,Spezia,it Serie A,24,1996,31,26,2288,25.4,3,3,3,0,0,5,1,0.12,0.12,0.24,0.12,0.24,1.7,1.7,3.5,5.2,0.07,0.14,0.20,0.07,0.20,Matches,1ac232b8
227,Lewis Bate,eng ENG,MF,Leeds United,eng Premier League,18,2002,3,1,146,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,cd4256d3
228,Rodrigo Battaglia,ar ARG,MF,Mallorca,es La Liga,30,1991,26,12,1179,13.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,d637fc22
229,Maximilian Bauer,de GER,DF,Greuther Fürth,de Bundesliga,21,2000,26,18,1690,18.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches,44a20f0c
230,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33,33,2970,33.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,47064058
231,Timo Baumgartl,de GER,DF,Union Berlin,de Bundesliga,25,1996,25,25,2166,24.1,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,1.4,1.4,0.5,1.9,0.06,0.02,0.08,0.06,0.08,Matches,bd7d2e6d
232,Julian Baumgartlinger,at AUT,MF,Leverkusen,de Bundesliga,33,1988,6,1,88,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,69374ff5
233,Christoph Baumgartner,at AUT,MFFW,Hoffenheim,de Bundesliga,21,1999,29,23,1888,21.0,7,2,7,0,0,5,0,0.33,0.10,0.43,0.33,0.43,7.4,7.4,3.2,10.6,0.35,0.15,0.51,0.35,0.51,Matches,437f2b00
234,Jon Bautista,es ESP,FWMF,Real Sociedad,es La Liga,26,1995,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.06,0.00,0.06,0.06,0.06,Matches,debc6b55
235,Mohamed Bayo,gn GUI,FW,Clermont Foot,fr Ligue 1,23,1998,32,27,2413,26.8,14,5,12,2,3,1,0,0.52,0.19,0.71,0.45,0.63,14.0,11.6,4.8,16.4,0.52,0.18,0.70,0.43,0.61,Matches,01870104
236,Paul Baysse,fr FRA,DF,Bordeaux,fr Ligue 1,33,1988,2,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2515040a
237,Noah Joel Sarenren Bazee,ng NGA,MFFW,Augsburg,de Bundesliga,24,1996,14,1,241,2.7,1,0,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,0.7,0.7,0.2,0.9,0.25,0.08,0.33,0.25,0.33,Matches,fbbc8e15
238,Bebé,cv CPV,FWMF,Rayo Vallecano,es La Liga,31,1990,29,6,867,9.6,1,2,1,0,0,2,0,0.10,0.21,0.31,0.10,0.31,2.1,2.1,1.9,4.0,0.22,0.20,0.42,0.22,0.42,Matches,d8712bf9
239,Ihlas Bebou,tg TOG,FWDF,Hoffenheim,de Bundesliga,27,1994,28,25,2091,23.2,7,2,7,0,0,0,0,0.30,0.09,0.39,0.30,0.39,8.4,8.4,1.9,10.3,0.36,0.08,0.44,0.36,0.44,Matches,a53b661f
240,Rodrigo Becão,br BRA,DF,Udinese,it Serie A,25,1996,35,35,3130,34.8,2,1,2,0,0,10,0,0.06,0.03,0.09,0.06,0.09,1.1,1.1,0.8,1.9,0.03,0.02,0.05,0.03,0.05,Matches,19e4eab9
241,Mads Bech Sørensen,dk DEN,DF,Brentford,eng Premier League,22,1999,11,9,835,9.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.04,0.05,0.01,0.05,Matches,30db8574
242,Sheraldo Becker,sr SUR,FWMF,Union Berlin,de Bundesliga,26,1995,28,22,1758,19.5,4,6,4,0,0,4,0,0.20,0.31,0.51,0.20,0.51,3.0,3.0,6.6,9.6,0.15,0.34,0.49,0.15,0.49,Matches,8eb55dbb
243,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,25,1996,31,30,2629,29.2,4,0,4,0,0,10,0,0.14,0.00,0.14,0.14,0.14,2.4,2.4,0.6,3.0,0.08,0.02,0.10,0.08,0.10,Matches,4115ce4e
244,Donny van de Beek,nl NED,MF,Everton,eng Premier League,24,1997,7,5,483,5.4,1,0,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,0.9,0.9,0.1,1.0,0.17,0.01,0.18,0.17,0.18,Matches,50dc94ce
245,Donny van de Beek,nl NED,MF,Manchester Utd,eng Premier League,24,1997,8,0,75,0.8,1,0,1,0,0,0,0,1.20,0.00,1.20,1.20,1.20,0.7,0.7,0.5,1.2,0.88,0.58,1.46,0.88,1.46,Matches,50dc94ce
246,Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7b4de647
247,Valon Behrami,ch SUI,MF,Genoa,it Serie A,36,1985,10,2,311,3.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.04,0.06,0.02,0.06,Matches,d3d758d8
248,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,30,1991,24,2,499,5.5,2,2,2,0,0,1,0,0.36,0.36,0.72,0.36,0.72,2.7,2.7,1.9,4.6,0.49,0.34,0.83,0.49,0.83,Matches,30ae134d
249,Youcef Belaïli,dz ALG,MFFW,Brest,fr Ligue 1,29,1992,13,11,825,9.2,3,2,3,0,1,2,0,0.33,0.22,0.55,0.33,0.55,2.9,2.0,2.8,4.8,0.32,0.30,0.62,0.22,0.52,Matches,1a248246
250,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,23,21,1938,21.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4f8ce0e1
251,Ishak Belfodil,dz ALG,FW,Hertha BSC,de Bundesliga,29,1992,26,17,1636,18.2,5,2,4,1,1,1,0,0.28,0.11,0.39,0.22,0.33,4.1,3.4,1.7,5.1,0.23,0.10,0.32,0.19,0.28,Matches,ff182fdc
252,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,27,1994,31,26,2310,25.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.00,0.02,0.03,0.00,0.03,Matches,2b1bed19
253,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,29,1991,33,33,2864,31.8,2,0,2,0,0,9,0,0.06,0.00,0.06,0.06,0.06,1.5,1.5,1.6,3.1,0.05,0.05,0.10,0.05,0.10,Matches,857a5abe
254,Armel Bella Kotchap,de GER,DF,Bochum,de Bundesliga,19,2001,22,20,1768,19.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.03,0.01,0.04,0.03,0.04,Matches,a39d11bc
255,Raoul Bellanova,it ITA,DF,Cagliari,it Serie A,21,2000,31,27,2496,27.7,1,2,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,1.8,1.8,3.8,5.6,0.06,0.14,0.20,0.06,0.20,Matches,e3756e72
256,Karim Bellarabi,de GER,FWDF,Leverkusen,de Bundesliga,31,1990,16,9,683,7.6,3,2,3,0,0,2,0,0.40,0.26,0.66,0.40,0.66,2.2,2.2,1.2,3.4,0.29,0.16,0.45,0.29,0.45,Matches,bee0bab1
257,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,23,1998,36,26,2332,25.9,2,3,2,0,0,5,0,0.08,0.12,0.19,0.08,0.19,2.5,2.5,2.4,4.9,0.10,0.09,0.19,0.10,0.19,Matches,10f0fdd3
258,Héctor Bellerín,es ESP,DF,Betis,es La Liga,26,1995,23,22,1979,22.0,0,2,0,0,0,2,1,0.00,0.09,0.09,0.00,0.09,0.4,0.4,2.4,2.8,0.02,0.11,0.13,0.02,0.13,Matches,f874dd44
259,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,18,2003,32,32,2790,31.0,3,8,3,0,0,9,0,0.10,0.26,0.35,0.10,0.35,4.2,4.2,4.6,8.8,0.14,0.15,0.29,0.14,0.29,Matches,57d88cf9
260,George Bello,us USA,DF,Arminia,de Bundesliga,19,2002,10,3,434,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.06,0.08,0.01,0.08,Matches,aca0a525
261,Jeanuel Belocian,fr FRA,DF,Rennes,fr Ligue 1,16,2005,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c678ddd7
