,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
2190,Pepe Reina,es ESP,GK,Lazio,it Serie A,37,1982,29.0,1120,915,205,64,0,109,23,0,0,0,0,0,654,75,391,98,863,0,0,122,914,3,10,7,0,Matches
2191,Jeff Reine-Adélaïde,fr FRA,MFFW,Nice,fr Ligue 1,22,1998,11.8,593,563,30,12,4,81,18,10,9,6,3,0,479,46,68,60,513,5,5,5,497,1,11,12,14,Matches
2192,Jeff Reine-Adélaïde,fr FRA,FW,Lyon,fr Ligue 1,22,1998,0.3,19,16,3,1,0,3,1,0,2,0,0,1,15,2,2,0,19,0,0,0,15,0,0,2,2,Matches
2193,Reinier,br BRA,MFFW,Dortmund,de Bundesliga,18,2002,2.9,113,110,3,1,0,19,0,2,0,0,0,0,94,12,7,8,95,4,2,1,100,0,0,4,2,Matches
2194,Francisco Reis Ferreira,pt POR,DF,Valencia,es La Liga,23,1997,2.0,76,71,5,5,0,10,1,0,0,0,0,0,54,12,10,11,61,4,0,0,67,0,2,2,2,Matches
2195,Rocco Reitz,de GER,MF,M'Gladbach,de Bundesliga,18,2002,0.7,43,43,0,0,1,8,0,0,0,0,0,0,26,7,10,2,38,3,0,0,35,1,0,1,0,Matches
2196,Karim Rekik,nl NED,DF,Sevilla,es La Liga,25,1994,7.3,490,430,60,4,0,43,4,8,0,0,0,0,378,56,56,364,48,16,56,2,435,1,6,11,3,Matches
2197,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,25,1995,38.0,1203,864,339,124,0,111,28,0,0,0,0,0,570,72,561,149,870,0,0,129,855,4,32,13,2,Matches
2198,Panagiotis Retsos,gr GRE,DF,Saint-Étienne,fr Ligue 1,21,1998,3.0,187,183,4,2,0,27,7,0,0,0,0,0,148,13,26,23,143,10,2,1,161,0,3,1,0,Matches
2199,Marco Reus,de GER,MFFW,Dortmund,de Bundesliga,31,1989,25.3,1145,1064,81,36,6,191,24,56,17,6,7,0,887,127,131,247,840,23,11,11,914,4,10,38,52,Matches
2200,Elvis Rexhbeçaj,de GER,MFFW,Köln,de Bundesliga,22,1997,20.4,646,577,69,22,2,120,21,28,32,17,8,3,397,82,167,471,131,25,7,7,419,5,6,34,38,Matches
2201,Oriol Rey,es ESP,MF,Valladolid,es La Liga,22,1998,0.2,13,13,0,0,0,2,0,0,0,0,0,0,11,0,2,11,1,1,0,0,11,0,0,0,0,Matches
2202,Gio Reyna,us USA,FWMF,Dortmund,de Bundesliga,17,2002,22.0,969,904,65,9,5,165,21,33,33,13,17,0,762,105,102,100,788,37,21,6,768,4,15,27,34,Matches
2203,Baptiste Reynet,fr FRA,GK,Nîmes,fr Ligue 1,29,1990,38.0,1587,1130,457,156,2,64,51,0,0,0,0,0,740,60,787,99,1216,2,1,144,1069,1,45,7,4,Matches
2204,Bryan Reynolds,us USA,DF,Roma,it Serie A,19,2001,3.1,147,116,31,4,0,9,6,5,0,0,0,0,98,30,19,11,104,3,27,1,124,0,6,6,3,Matches
2205,Franck Ribéry,fr FRA,FW,Fiorentina,it Serie A,37,1983,23.9,894,871,23,7,4,180,30,25,0,0,0,0,733,102,59,110,747,17,9,6,772,3,7,21,23,Matches
2206,Ricard,es ESP,DF,Atlético Madrid,es La Liga,20,2000,0.3,20,16,4,0,0,1,1,2,0,0,0,0,11,3,6,1,14,1,4,0,14,0,0,0,2,Matches
2207,Federico Ricci,it ITA,FW,Sassuolo,it Serie A,26,1994,0.0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,0,4,0,0,0,0,Matches
2208,Giacomo Ricci,it ITA,DF,Parma,it Serie A,23,1996,0.7,26,22,4,0,0,1,1,1,0,0,0,0,14,4,8,20,1,0,4,0,19,0,2,0,1,Matches
2209,Matteo Ricci,it ITA,MF,Spezia,it Serie A,26,1994,24.8,1665,1545,120,106,2,205,75,10,13,1,8,1,1134,191,340,164,1434,46,1,4,1418,6,24,46,18,Matches
2210,Declan Rice,eng ENG,MF,West Ham,eng Premier League,21,1999,32.0,1506,1484,22,19,4,222,58,29,0,0,0,0,1177,134,195,203,1202,64,2,0,1298,3,19,23,20,Matches
2211,Chris Richards,us USA,DF,Hoffenheim,de Bundesliga,20,2000,10.5,674,658,16,13,1,88,15,0,0,0,0,0,542,48,84,228,397,33,3,3,592,0,14,9,8,Matches
2212,Chris Richards,us USA,DF,Bayern Munich,de Bundesliga,20,2000,1.0,87,81,6,1,0,6,4,4,0,0,0,0,75,4,8,14,66,1,5,0,79,1,0,1,4,Matches
2213,Lewis Richardson,eng ENG,FWMF,Burnley,eng Premier League,17,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Matches
2214,Richarlison,br BRA,FW,Everton,eng Premier League,23,1997,31.8,772,754,18,4,4,209,6,23,1,1,0,0,592,104,76,151,567,28,0,4,534,2,13,41,66,Matches
2215,Marco Richter,de GER,FWMF,Augsburg,de Bundesliga,22,1997,15.7,477,430,47,13,2,107,23,37,16,10,5,0,269,81,127,132,304,16,8,3,285,7,18,30,39,Matches
2216,Mikel Rico,es ESP,MF,Huesca,es La Liga,35,1984,24.3,901,869,32,8,0,194,33,26,3,0,0,0,608,134,159,70,755,46,10,9,704,5,19,25,37,Matches
2217,Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,26,1993,9.0,216,153,63,9,0,7,1,0,0,0,0,0,175,10,31,35,135,1,0,41,196,0,3,1,0,Matches
2218,Jaïro Riedewald,nl NED,MF,Crystal Palace,eng Premier League,23,1996,20.2,628,617,11,7,0,96,7,5,0,0,0,0,478,75,75,502,82,31,2,3,533,2,8,18,6,Matches
2219,Emiliano Rigoni,ar ARG,MFFW,Elche,es La Liga,27,1993,12.7,408,344,64,16,0,86,23,26,35,12,17,1,270,50,88,250,132,11,10,0,303,1,9,14,9,Matches
2220,Tomás Rincón,ve VEN,MF,Torino,it Serie A,32,1988,31.6,1375,1308,67,50,2,217,59,17,1,1,0,0,991,132,252,158,1108,57,10,8,1156,6,12,23,20,Matches
2221,Luis Rioja,es ESP,MF,Alavés,es La Liga,26,1993,23.2,651,583,68,7,1,131,19,62,15,4,5,4,397,114,140,501,59,31,45,1,436,1,16,26,49,Matches
2222,Renaud Ripart,fr FRA,MFFW,Nîmes,fr Ligue 1,27,1993,33.9,1196,1090,106,23,2,244,32,44,1,0,1,0,744,233,219,229,772,52,74,8,820,4,29,46,85,Matches
2223,Andrea Rispoli,it ITA,DF,Crotone,it Serie A,31,1988,7.2,318,263,55,1,0,46,10,21,4,2,0,0,161,66,91,36,216,11,50,1,224,1,4,8,22,Matches
2224,Mihailo Ristić,rs SRB,DF,Montpellier,fr Ligue 1,24,1995,24.8,1265,1018,247,20,3,140,53,64,0,0,0,0,672,243,350,841,138,39,227,2,983,7,18,21,43,Matches
2225,Matt Ritchie,sct SCO,DFMF,Newcastle Utd,eng Premier League,30,1989,15.0,607,473,134,32,0,95,35,59,37,24,13,0,289,115,203,415,86,28,65,3,411,3,18,14,26,Matches
2226,Maxence Rivera,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,2.7,110,107,3,1,0,13,3,6,0,0,0,0,79,15,16,14,91,3,2,0,82,0,4,6,1,Matches
2227,Emmanuel Rivière,fr FRA,FWMF,Crotone,it Serie A,30,1990,7.1,148,144,4,0,0,54,1,1,0,0,0,0,96,32,20,24,104,8,0,1,113,0,0,5,8,Matches
2228,Rober,es ESP,DFMF,Levante,es La Liga,25,1995,15.8,853,821,32,28,1,158,50,1,0,0,0,0,589,89,175,138,664,34,4,2,726,2,16,11,14,Matches
2229,Roberto,es ESP,GK,Valladolid,es La Liga,34,1986,13.0,411,224,187,74,0,29,8,0,0,0,0,0,91,22,298,11,347,1,0,38,200,2,20,4,1,Matches
2230,Sergi Roberto,es ESP,DF,Barcelona,es La Liga,28,1992,10.5,887,808,79,7,1,77,2,7,0,0,0,0,699,117,71,126,662,23,72,0,800,3,4,10,25,Matches
2231,Tyler Roberts,wls WAL,MFFW,Leeds United,eng Premier League,21,1999,14.9,467,461,6,2,4,82,9,9,0,0,0,0,320,78,69,32,396,17,0,4,337,3,15,28,19,Matches
2232,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,26,1994,37.6,3213,2700,513,68,3,233,115,147,118,24,65,12,2070,572,571,2608,155,95,327,2,2567,8,46,60,98,Matches
2233,Antonee Robinson,us USA,DF,Fulham,eng Premier League,22,1997,24.0,1352,1103,249,13,0,137,30,93,1,0,1,0,755,219,378,877,158,55,235,1,982,2,18,45,55,Matches
2234,Callum Robinson,ie IRL,FWMF,West Brom,eng Premier League,25,1995,17.3,450,427,23,2,0,102,10,35,0,0,0,0,285,89,76,94,318,19,2,7,319,1,5,15,30,Matches
2235,Jack Robinson,eng ENG,DF,Sheffield Utd,eng Premier League,26,1993,9.7,439,396,43,5,0,48,4,11,0,0,0,0,304,39,96,308,52,25,38,1,354,0,3,3,7,Matches
2236,Joel Robles,es ESP,GK,Betis,es La Liga,30,1990,18.0,565,391,174,58,0,31,18,0,0,0,0,0,240,16,309,46,414,1,0,80,355,4,24,5,0,Matches
2237,Hal Robson-Kanu,wls WAL,FW,West Brom,eng Premier League,31,1989,6.2,86,80,6,1,0,29,1,3,0,0,0,0,58,18,10,57,17,1,0,7,64,0,3,1,3,Matches
2238,Marc Roca,es ESP,MF,Bayern Munich,de Bundesliga,23,1996,2.0,123,121,2,1,0,11,3,2,1,0,0,0,103,7,13,100,19,3,0,0,111,0,0,1,2,Matches
2239,Christopher Rocchia,fr FRA,DF,Marseille,fr Ligue 1,22,1998,0.2,15,10,5,1,0,3,0,0,0,0,0,0,10,2,3,8,2,1,4,0,14,0,0,0,1,Matches
2240,Rubén Rochina,es ESP,MF,Levante,es La Liga,29,1991,15.6,832,774,58,28,2,147,63,28,20,13,4,1,460,113,259,661,119,22,4,8,600,7,35,23,25,Matches
2241,Marek Rodák,sk SVK,GK,Fulham,eng Premier League,23,1996,2.0,46,37,9,2,0,9,1,0,0,0,0,0,29,0,17,5,34,0,0,7,37,0,0,0,0,Matches
2242,Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,29,1990,18.1,1053,1031,22,17,3,173,12,8,2,0,0,0,761,142,150,165,799,57,3,5,883,4,22,16,23,Matches
2243,Joe Rodon,wls WAL,DF,Tottenham,eng Premier League,22,1997,8.1,411,405,6,6,0,33,3,0,0,0,0,0,327,31,53,25,349,25,0,1,365,0,7,3,2,Matches
2244,Rodri,es ESP,MF,Manchester City,eng Premier League,24,1996,30.5,2728,2689,39,38,3,404,97,12,0,0,0,0,2136,222,370,429,2146,84,1,9,2495,0,16,35,22,Matches
2245,Rodrigo,es ESP,MFFW,Leeds United,eng Premier League,29,1991,14.3,573,565,8,1,5,125,18,20,1,1,0,0,378,112,83,444,68,36,4,7,432,0,5,27,22,Matches
2246,Rodrigo,es ESP,FWMF,Betis,es La Liga,20,2000,6.0,254,244,10,4,0,30,6,10,2,2,0,0,196,31,27,219,22,8,4,0,215,0,1,9,6,Matches
2247,Kévin Rodrigues,pt POR,DFMF,Eibar,es La Liga,26,1994,12.2,556,465,91,11,0,93,32,41,19,9,8,1,286,90,180,377,80,27,61,2,376,2,15,11,20,Matches
2248,Óscar Rodríguez Arnaiz,es ESP,MFFW,Sevilla,es La Liga,22,1998,5.7,342,309,33,8,2,54,15,19,24,10,10,0,223,42,77,46,272,16,0,1,260,1,7,16,7,Matches
2249,Ángel Rodríguez,es ESP,FWMF,Getafe,es La Liga,33,1987,15.3,318,304,14,0,0,90,10,14,0,0,0,0,185,69,64,35,237,15,3,5,212,3,12,11,16,Matches
2250,Guido Rodríguez,ar ARG,MF,Betis,es La Liga,26,1994,31.8,1653,1593,60,53,3,233,59,4,1,1,0,0,1206,188,259,145,1368,97,6,4,1408,3,23,37,33,Matches
2251,James Rodríguez,co COL,FWMF,Everton,eng Premier League,29,1991,19.6,1111,976,135,38,6,198,89,35,58,24,24,2,693,164,254,999,64,21,21,1,879,3,19,31,26,Matches
2252,Jay Rodriguez,eng ENG,FWMF,Burnley,eng Premier League,31,1989,14.1,283,280,3,0,1,80,0,4,0,0,0,0,176,57,50,14,202,20,0,12,208,1,3,9,7,Matches
2253,Miguel Rodríguez,es ESP,FWMF,Celta Vigo,es La Liga,17,2003,0.3,16,16,0,0,0,3,1,1,0,0,0,0,9,3,4,9,5,2,0,0,11,0,1,0,3,Matches
2254,Ricardo Rodríguez,ch SUI,DF,Torino,it Serie A,27,1992,13.8,726,651,75,16,1,88,30,10,1,1,0,0,504,79,143,477,164,16,58,3,612,4,5,11,17,Matches
2255,Víctor Rodríguez,es ESP,MF,Elche,es La Liga,31,1989,4.7,325,313,12,11,1,45,8,2,1,0,1,0,265,30,30,53,264,6,0,1,296,0,2,5,5,Matches
2256,Rodrygo,br BRA,FW,Real Madrid,es La Liga,19,2001,10.9,420,411,9,0,2,65,5,15,2,2,0,0,325,56,39,43,349,9,7,6,340,2,5,12,24,Matches
2257,Marko Rog,hr CRO,MF,Cagliari,it Serie A,25,1995,12.9,617,593,24,22,1,75,7,6,1,1,0,0,479,62,76,69,518,22,0,3,540,0,7,13,8,Matches
2258,Rogério,br BRA,DF,Sassuolo,it Serie A,22,1998,20.9,1294,1136,158,22,0,145,21,55,7,3,2,0,922,218,154,1048,81,22,129,5,1097,0,13,25,25,Matches
2259,Luis Rojas,cl CHI,MFFW,Crotone,it Serie A,18,2002,1.2,50,48,2,0,0,12,1,1,0,0,0,0,35,8,7,5,40,1,1,1,39,0,1,3,1,Matches
2260,Alessio Romagnoli,it ITA,DF,Milan,it Serie A,25,1995,21.2,1010,973,37,35,0,54,12,1,0,0,0,0,827,80,103,837,105,40,2,3,914,3,7,12,6,Matches
2261,Cristian Romero,ar ARG,DF,Atalanta,it Serie A,22,1998,28.3,1247,1192,55,51,2,189,24,0,0,0,0,0,969,163,115,113,1000,70,4,2,1128,1,6,19,17,Matches
2262,Oriol Romeu,es ESP,MF,Southampton,eng Premier League,28,1991,19.6,1258,1243,15,12,3,246,17,5,1,0,1,0,928,112,218,240,909,65,2,9,1042,1,21,17,21,Matches
2263,Cristiano Ronaldo,pt POR,FW,Juventus,it Serie A,35,1985,31.1,1086,1033,53,14,3,191,23,52,3,0,0,0,836,132,118,160,859,24,17,13,853,6,11,38,42,Matches
2264,Facundo Roncaglia,ar ARG,DF,Osasuna,es La Liga,33,1987,13.7,560,436,124,21,1,68,26,15,0,0,0,0,227,109,224,77,301,49,103,4,390,4,12,10,21,Matches
2265,Valentin Rongier,fr FRA,MF,Marseille,fr Ligue 1,25,1994,21.0,1388,1360,28,23,2,172,32,8,1,0,0,0,1114,154,120,303,1013,50,1,3,1208,2,24,21,31,Matches
2266,Marten de Roon,nl NED,MF,Atalanta,it Serie A,29,1991,33.6,2148,2069,79,62,2,227,59,13,2,2,0,0,1646,212,290,269,1713,98,15,3,1869,10,25,25,25,Matches
2267,Jérôme Roussillon,fr FRA,DF,Wolfsburg,de Bundesliga,27,1993,13.7,673,556,117,6,0,85,18,44,0,0,0,0,372,142,159,459,68,28,111,1,505,1,14,15,23,Matches
2268,Nolan Roux,fr FRA,FW,Nîmes,fr Ligue 1,32,1988,7.2,154,139,15,0,0,34,3,5,0,0,0,0,94,30,30,7,122,16,0,4,104,0,3,8,7,Matches
2269,Nicolò Rovella,it ITA,MF,Genoa,it Serie A,18,2001,13.2,824,784,40,22,2,107,36,13,16,4,10,0,624,58,142,56,740,25,1,0,700,4,8,17,11,Matches
2270,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,26,1994,12.2,577,534,43,29,0,47,27,2,0,0,0,0,477,44,56,56,475,31,3,3,532,0,5,5,3,Matches
2271,Rubén,es ESP,GKMF,Osasuna,es La Liga,36,1984,2.1,61,35,26,10,0,3,0,0,0,0,0,0,7,1,53,4,49,0,0,2,40,0,2,0,0,Matches
2272,Waldo Rubio,es ESP,FW,Valladolid,es La Liga,24,1995,4.2,121,118,3,0,1,27,8,3,0,0,0,0,65,34,22,10,103,4,3,1,82,0,5,4,11,Matches
2273,John Ruddy,eng ENG,GK,Wolves,eng Premier League,33,1986,1.0,24,16,8,3,0,1,1,0,0,0,0,0,16,1,7,1,13,0,0,10,19,0,2,0,0,Matches
2274,Antonio Rüdiger,de GER,DF,Chelsea,eng Premier League,27,1993,19.0,1475,1441,34,32,0,115,29,1,0,0,0,0,1254,71,150,398,1029,23,2,0,1339,3,18,12,13,Matches
2275,Sebastian Rudy,de GER,MFDF,Hoffenheim,de Bundesliga,30,1990,18.6,972,837,135,42,0,158,27,41,65,18,29,1,591,169,212,101,784,43,28,1,713,3,19,27,44,Matches
2276,Sebastian Rudy,de GER,DF,Schalke 04,de Bundesliga,30,1990,2.0,136,107,29,2,0,32,3,3,3,0,1,1,70,37,29,13,91,4,24,0,91,0,1,1,15,Matches
2277,Kevin Rüegg,ch SUI,DFMF,Hellas Verona,it Serie A,21,1998,2.3,82,67,15,0,0,11,2,4,0,0,0,0,45,16,21,7,54,4,15,0,56,1,4,1,5,Matches
2278,Daniele Rugani,it ITA,DF,Cagliari,it Serie A,26,1994,11.1,495,474,21,18,0,64,2,4,0,0,0,0,347,48,100,76,357,33,3,3,395,1,14,8,6,Matches
2279,Daniele Rugani,it ITA,DF,Rennes,fr Ligue 1,26,1994,1.0,65,63,2,2,0,11,0,0,0,0,0,0,53,5,7,8,52,1,0,0,57,0,0,2,0,Matches
2280,Matteo Ruggeri,it ITA,DF,Atalanta,it Serie A,18,2002,2.3,118,107,11,1,0,5,1,8,0,0,0,0,82,19,17,97,8,1,10,0,96,0,1,3,1,Matches
2281,Mário Rui,pt POR,DF,Napoli,it Serie A,29,1991,18.5,1381,1184,197,56,1,108,34,56,20,10,3,1,893,205,283,1126,96,31,121,3,1126,6,15,40,38,Matches
2282,Aitor Ruibal,es ESP,FWMF,Betis,es La Liga,24,1996,17.7,563,551,12,2,0,121,5,23,0,0,0,0,444,65,54,57,466,13,10,6,426,1,6,23,35,Matches
2283,Fabián Ruiz Peña,es ESP,MF,Napoli,it Serie A,24,1996,28.5,2124,2051,73,62,5,319,100,21,8,3,1,0,1606,260,258,1894,180,30,3,7,1888,5,22,48,40,Matches
2284,Isma Ruiz,es ESP,MF,Granada,es La Liga,19,2001,0.7,21,21,0,0,0,7,1,0,0,0,0,0,10,4,7,0,16,4,0,0,15,0,1,0,0,Matches
2285,Kays Ruiz,ma MAR,FWMF,Paris S-G,fr Ligue 1,17,2002,2.1,181,181,0,0,1,20,2,1,0,0,0,0,161,11,9,19,160,1,0,1,159,1,1,5,2,Matches
2286,Víctor Ruiz,es ESP,DF,Betis,es La Liga,31,1989,24.0,1245,1192,53,47,1,138,35,0,0,0,0,0,976,88,181,898,259,56,4,6,1098,3,22,12,6,Matches
2287,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,28,1992,2.0,96,74,22,3,0,4,7,0,0,0,0,0,55,12,29,19,59,0,0,16,77,0,3,0,1,Matches
2288,Georginio Rutter,fr FRA,FWMF,Rennes,fr Ligue 1,18,2002,0.5,15,13,2,0,0,6,0,0,0,0,0,0,7,5,3,1,7,5,0,0,9,0,0,0,1,Matches
2289,Georginio Rutter,fr FRA,FW,Hoffenheim,de Bundesliga,18,2002,2.7,64,63,1,0,0,20,4,4,0,0,0,0,40,13,11,27,24,3,0,3,51,0,2,2,2,Matches
2290,Mathew Ryan,au AUS,GK,Arsenal,eng Premier League,28,1992,3.0,67,55,12,3,0,2,1,0,0,0,0,0,52,3,12,10,35,2,0,19,62,0,0,0,0,Matches
2291,Mathew Ryan,au AUS,GK,Brighton,eng Premier League,28,1992,11.0,399,315,84,26,0,49,13,0,0,0,0,0,238,15,146,57,275,2,0,56,314,0,15,3,0,Matches
2292,Julian Ryerson,no NOR,DFMF,Union Berlin,de Bundesliga,22,1997,11.9,570,464,106,8,0,81,6,15,0,0,0,0,316,141,113,85,342,33,98,2,419,4,15,19,26,Matches
2293,Frederik Rønnow,dk DEN,GK,Schalke 04,de Bundesliga,27,1992,10.5,383,270,113,19,0,30,6,0,0,0,0,0,209,26,148,30,274,0,0,64,284,4,13,4,1,Matches
2294,João Victor Santos Sá,br BRA,FW,Wolfsburg,de Bundesliga,26,1994,5.2,186,182,4,1,0,39,0,3,0,0,0,0,143,28,15,31,135,5,3,4,146,1,1,6,10,Matches
2295,Roli Pereira de Sa,fr FRA,MFFW,Nantes,fr Ligue 1,23,1996,0.6,47,46,1,1,0,5,1,0,0,0,0,0,40,3,4,38,8,1,0,0,43,0,1,1,1,Matches
2296,Idriss Saadi,dz ALG,FWMF,Strasbourg,fr Ligue 1,28,1992,1.4,30,28,2,0,0,13,1,2,0,0,0,0,14,9,7,2,20,1,0,2,18,0,0,1,1,Matches
2297,Youssouf Sabaly,sn SEN,DF,Bordeaux,fr Ligue 1,27,1993,32.3,1971,1608,363,21,2,220,20,39,1,0,1,0,1258,447,266,258,1277,66,341,4,1671,2,22,37,64,Matches
2298,Mathys Saban,fr FRA,FW,Saint-Étienne,fr Ligue 1,18,2002,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,Matches
2299,Marcel Sabitzer,at AUT,MF,RB Leipzig,de Bundesliga,26,1994,22.5,1344,1273,71,50,6,212,45,23,0,0,0,0,870,196,278,206,1025,71,19,8,1068,11,29,28,38,Matches
2300,Alexis Saelemaekers,be BEL,FW,Milan,it Serie A,21,1999,22.4,886,870,16,2,1,130,12,41,4,2,1,1,702,108,76,171,671,21,9,9,710,1,10,24,24,Matches
2301,Modibo Sagnan,ml MLI,DF,Real Sociedad,es La Liga,21,1999,6.9,386,373,13,13,0,38,14,1,0,0,0,0,313,28,45,280,81,16,0,1,335,2,9,6,4,Matches
2302,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,eng Premier League,23,1997,17.3,436,420,16,1,1,114,8,21,0,0,0,0,348,52,36,34,381,6,5,5,348,1,5,14,16,Matches
2303,Borja Sainz,es ESP,MFFW,Alavés,es La Liga,19,2001,5.0,112,109,3,1,0,20,5,11,0,0,0,0,76,17,19,14,91,3,2,1,86,0,3,1,4,Matches
2304,Romain Saïss,ma MAR,DF,Wolves,eng Premier League,30,1990,26.7,1411,1339,72,25,0,131,38,17,0,0,0,0,934,205,272,1129,137,68,47,2,1157,2,25,26,25,Matches
2305,Bukayo Saka,eng ENG,FWDF,Arsenal,eng Premier League,18,2001,28.4,1155,1032,123,25,3,205,37,82,63,20,20,10,794,150,211,848,225,31,35,5,865,3,18,22,51,Matches
2306,Hiroki Sakai,jp JPN,DF,Marseille,fr Ligue 1,30,1990,26.5,1482,1191,291,5,0,134,21,31,0,0,0,0,929,342,211,138,946,79,286,1,1228,0,19,31,43,Matches
2307,Moïse Sakava,cm CMR,MF,Reims,fr Ligue 1,19,2000,0.1,7,7,0,0,0,1,1,0,0,0,0,0,6,0,1,0,7,0,0,0,7,0,0,0,0,Matches
2308,Mamadou Sakho,fr FRA,DF,Crystal Palace,eng Premier League,30,1990,3.1,82,72,10,9,0,11,1,0,0,0,0,0,57,8,17,60,16,4,1,0,72,0,1,0,0,Matches
2309,Jacopo Sala,it ITA,DF,Spezia,it Serie A,28,1991,4.2,275,228,47,6,0,16,4,9,1,0,0,0,179,53,43,18,204,11,40,1,235,0,2,3,3,Matches
2310,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,28,1992,34.2,1288,1259,29,2,8,220,15,47,0,0,0,0,1051,121,116,1017,227,20,5,8,1071,4,6,35,51,Matches
2311,Eddy Salcedo,it ITA,FWMF,Hellas Verona,it Serie A,18,2001,8.4,273,260,13,0,2,79,0,11,1,0,0,0,159,71,43,22,192,18,11,11,190,0,8,5,20,Matches
2312,William Saliba,fr FRA,DF,Nice,fr Ligue 1,19,2001,20.0,1438,1403,35,32,1,144,54,0,0,0,0,0,1235,87,116,108,1286,25,3,2,1331,3,12,23,12,Matches
2313,Romain Salin,fr FRA,GK,Rennes,fr Ligue 1,36,1984,15.0,544,381,163,40,0,30,12,0,0,0,0,0,304,21,219,350,99,3,0,76,409,0,10,2,0,Matches
2314,Mohammed Salisu,gh GHA,DF,Southampton,eng Premier League,21,1999,9.4,376,352,24,3,0,75,4,2,0,0,0,0,268,50,58,272,51,15,21,1,310,0,7,8,13,Matches
2315,Roland Sallai,hu HUN,MFFW,Freiburg,de Bundesliga,23,1997,18.5,493,483,10,4,2,125,12,42,0,0,0,0,295,106,92,97,340,15,4,6,354,5,10,12,26,Matches
2316,Salvi,es ESP,MFFW,Cádiz,es La Liga,29,1991,21.5,580,492,88,13,0,91,19,84,24,5,17,0,268,138,174,54,435,24,51,4,327,2,10,19,52,Matches
2317,Lazar Samardzic,de GER,MFFW,RB Leipzig,de Bundesliga,18,2002,2.2,69,68,1,1,1,25,0,0,0,0,0,0,46,13,10,51,13,4,0,0,52,0,0,2,1,Matches
2318,Diadie Samassékou,ml MLI,MF,Hoffenheim,de Bundesliga,24,1996,28.5,1372,1351,21,20,3,250,33,7,0,0,0,0,996,160,216,135,1096,101,1,10,1151,0,27,30,27,Matches
2319,Mama Samba Baldé,gw GNB,FW,Dijon,fr Ligue 1,24,1995,24.0,492,458,34,2,0,151,6,10,0,0,0,0,328,104,60,77,316,28,4,20,343,0,6,21,31,Matches
2320,Junior Sambia,fr FRA,DFMF,Montpellier,fr Ligue 1,23,1996,27.2,1311,1054,257,11,5,140,43,61,7,3,4,0,758,286,267,154,868,32,238,1,1035,1,25,45,31,Matches
2321,Frédéric Sammaritano,fr FRA,FWMF,Dijon,fr Ligue 1,34,1986,12.6,508,444,64,29,2,82,29,32,31,20,9,0,339,61,108,87,402,11,1,5,381,3,8,8,23,Matches
2322,Fede San Emeterio,es ESP,MF,Valladolid,es La Liga,23,1997,16.2,552,543,9,8,0,94,19,2,0,0,0,0,345,81,126,45,439,42,1,4,433,1,8,14,9,Matches
2323,Antonio Sanabria,py PAR,FW,Torino,it Serie A,24,1996,10.9,270,260,10,1,0,83,13,5,0,0,0,0,191,42,37,65,157,15,0,9,206,0,8,15,10,Matches
2324,Antonio Sanabria,py PAR,FW,Betis,es La Liga,24,1996,10.4,215,195,20,0,1,57,3,1,0,0,0,0,140,36,39,40,133,13,0,0,161,1,3,6,7,Matches
2325,Oihan Sancet,es ESP,FWMF,Athletic Club,es La Liga,20,2000,11.5,351,334,17,1,0,90,7,5,1,1,0,0,248,66,37,39,279,12,1,7,259,0,11,25,10,Matches
2326,Renato Sanches,pt POR,MF,Lille,fr Ligue 1,22,1997,14.1,988,930,58,26,8,114,63,19,27,9,10,6,736,75,177,97,869,10,5,2,822,7,23,29,13,Matches
2327,Juan Sánchez Miño,ar ARG,DFMF,Elche,es La Liga,30,1990,5.5,286,255,31,6,0,45,6,8,0,0,0,0,204,39,43,213,39,5,25,1,241,0,3,4,8,Matches
2328,Alexis Sánchez,cl CHI,FW,Inter,it Serie A,31,1988,12.7,529,493,36,13,5,102,23,18,16,2,8,1,353,76,100,31,474,8,0,6,414,6,5,22,13,Matches
2329,Davinson Sánchez,co COL,DF,Tottenham,eng Premier League,24,1996,16.5,977,953,24,22,0,73,17,0,0,0,0,0,791,60,126,112,799,38,2,5,849,0,10,11,11,Matches
2330,Germán Sánchez,es ESP,DF,Granada,es La Liga,33,1986,29.3,894,842,52,50,1,115,31,0,0,0,0,0,585,72,237,121,689,46,2,1,694,3,21,11,8,Matches
